Date,AAPL,ABBV,BA,BAC,CAT,CVX,GOOGL,GS,HD,JNJ,JPM,MCD,MSFT,NKE,NVDA,PFE,UNH,V,WMT,XOM
2015-01-02,24.214893341064453,41.7554817199707,113.6572036743164,14.203643798828125,69.15856170654297,70.20954132080078,26.27894401550293,156.37384033203125,79.90192413330078,76.95555114746094,46.51113510131836,70.67049407958984,39.858463287353516,41.38150405883789,0.483011394739151,18.38101577758789,84.48046112060547,61.21474838256836,23.219236373901367,57.53343200683594
2015-01-05,23.53272247314453,40.96966552734375,112.87005615234375,13.791027069091797,65.5079345703125,67.40316009521484,25.778228759765625,151.49139404296875,78.22553253173828,76.41808319091797,45.06720733642578,69.88995361328125,39.49192810058594,40.71525955200195,0.4748532474040985,18.281274795532227,83.08893585205078,59.86351013183594,23.15165901184082,55.9592170715332
2015-01-06,23.53493309020996,40.766883850097656,111.54061126708984,13.378402709960938,65.08641815185547,67.37200164794922,25.14203453063965,148.42684936523438,77.98603820800781,76.0425796508789,43.89863586425781,70.0187759399414,38.91228103637695,40.47575759887695,0.46045657992362976,18.43381690979004,82.92130279541016,59.47776412963867,23.330059051513672,55.661712646484375
2015-01-07,23.864948272705078,42.41454315185547,113.27236938476562,13.441882133483887,66.09506225585938,67.31586456298828,25.068092346191406,150.63882446289062,80.65897369384766,77.72129821777344,43.965633392333984,71.23878479003906,39.406681060791016,41.31182861328125,0.4592568576335907,18.686094284057617,83.76795959472656,60.274658203125,23.949058532714844,56.225704193115234
2015-01-08,24.781902313232422,42.85813903808594,115.27525329589844,13.719612121582031,66.77251434326172,68.85623168945312,25.155433654785156,153.04385375976562,82.4435043334961,78.33238220214844,44.94810485839844,71.50403594970703,40.565940856933594,42.265480041503906,0.4765329360961914,19.06743812561035,87.76649475097656,61.08309555053711,24.454526901245117,57.16157913208008
2015-01-09,24.808469772338867,41.685760498046875,115.04784393310547,13.473621368408203,65.97462463378906,67.48423767089844,24.848251342773438,150.69512939453125,81.02978515625,77.26480102539062,44.16660690307617,70.63256072998047,40.2249870300293,41.79954528808594,0.47845256328582764,19.15544891357422,86.94497680664062,60.17764663696289,24.15179443359375,57.080997467041016
2015-01-12,24.197175979614258,41.673091888427734,114.46186065673828,13.235575675964355,65.40255737304688,66.03116607666016,24.6666259765625,148.8611602783203,80.66667938232422,76.99974060058594,43.7869987487793,70.48103332519531,39.72205352783203,41.74294662475586,0.4724538028240204,19.225849151611328,85.9642105102539,60.05982208251953,24.33289337158203,55.98400115966797
2015-01-13,24.41201400756836,40.47275924682617,114.7242431640625,13.053070068359375,65.01116180419922,64.98342895507812,24.9018497467041,148.74859619140625,80.13367462158203,77.1323013305664,43.79444885253906,70.34461212158203,39.517494201660156,41.372798919677734,0.471733957529068,19.032236099243164,86.4001235961914,60.235382080078125,24.140974044799805,55.77946472167969
2015-01-14,24.318984985351562,40.67068862915039,114.0333023071289,12.72773551940918,64.78533935546875,64.79635620117188,25.106800079345703,144.9680938720703,79.29158782958984,76.57268524169922,42.283531188964844,69.36707305908203,39.17654037475586,40.80669403076172,0.47365352511405945,19.055702209472656,86.61804962158203,59.02965545654297,23.411155700683594,55.61833572387695
2015-01-15,23.658964157104492,40.15351867675781,113.82339477539062,12.061195373535156,63.988529205322266,64.02925109863281,25.011520385742188,143.56857299804688,78.03240966796875,75.4609375,40.92892074584961,69.24580383300781,38.767372131347656,40.4147834777832,0.470294326543808,19.008766174316406,87.5652847290039,58.4683723449707,23.619293212890625,55.1348991394043
2015-01-16,23.475133895874023,41.207008361816406,114.38313293457031,12.204022407531738,63.63945388793945,65.55718231201172,25.331602096557617,142.55508422851562,80.43494415283203,76.60213470458984,41.6285400390625,69.32921600341797,39.41520690917969,40.493167877197266,0.47893238067626953,19.243450164794922,88.6634292602539,58.88876724243164,23.45440101623535,56.47361373901367
2015-01-20,24.07978630065918,40.511070251464844,114.76799774169922,12.108806610107422,63.722896575927734,66.39910888671875,25.305797576904297,141.2681121826172,79.76287078857422,74.57740020751953,41.46479415893555,68.80634307861328,39.543067932128906,40.76315689086914,0.4803720712661743,19.419458389282227,88.53768157958984,59.32530975341797,23.432781219482422,56.45500946044922
2015-01-21,24.26361846923828,40.03220748901367,115.80879974365234,12.227829933166504,64.78534698486328,67.45306396484375,25.824382781982422,142.4907684326172,79.9791488647461,75.02652740478516,41.59878158569336,68.45772552490234,39.14244079589844,40.719608306884766,0.4870905876159668,19.149574279785156,91.63926696777344,59.42695617675781,23.419261932373047,56.93842697143555
2015-01-22,24.894847869873047,40.210994720458984,118.63379669189453,12.767411231994629,65.88572692871094,67.9270248413086,26.663537979125977,146.4239959716797,81.94136047363281,76.39599609375,42.86407470703125,68.87451934814453,40.17385482788086,41.738590240478516,0.49548861384391785,19.249313354492188,95.4366226196289,59.500858306884766,23.86796760559082,57.5582160949707
2015-01-23,25.023313522338867,39.85982894897461,117.74166870117188,12.481749534606934,64.96748352050781,66.63607788085938,26.89429473876953,145.17727661132812,81.40060424804688,75.24739074707031,42.186771392822266,67.86668395996094,40.216461181640625,41.873565673828125,0.496928334236145,19.03810691833496,93.88584899902344,59.66023635864258,23.92473602294922,56.33107376098633
2015-01-26,25.04989242553711,40.11521530151367,117.26065826416016,12.576970100402832,65.28620147705078,67.9020767211914,26.63475227355957,145.12094116210938,82.1653823852539,75.29158020019531,42.25374221801758,68.70780181884766,40.071556091308594,41.95630645751953,0.4947687089443207,19.243450164794922,93.55890655517578,59.253726959228516,23.95716667175293,56.87025451660156
